選舉類型,候選人數量
[鄉鎮市民代表]新竹縣北埔鄉第2選舉區,9
[鄉鎮市民代表]新竹縣北埔鄉第3選舉區,2
[鄉鎮市民代表]新竹縣寶山鄉第1選舉區,9
[鄉鎮市民代表]新竹縣寶山鄉第2選舉區,4
[鄉鎮市民代表]新竹縣寶山鄉第3選舉區,2
[鄉鎮市民代表]新竹縣寶山鄉第4選舉區,3
[鄉鎮市民代表]新竹縣峨眉鄉第1選舉區,6
[鄉鎮市民代表]新竹縣峨眉鄉第2選舉區,7
[鄉鎮市民代表]新竹縣尖石鄉第1選舉區,4
[鄉鎮市民代表]新竹縣尖石鄉第2選舉區,5
[鄉鎮市民代表]新竹縣尖石鄉第3選舉區,9
[鄉鎮市民代表]新竹縣五峰鄉第1選舉區,7
[鄉鎮市民代表]新竹縣五峰鄉第2選舉區,4
[鄉鎮市民代表]新竹縣五峰鄉第3選舉區,5
[縣(市)長]苗栗縣,4
[縣(市)議員]苗栗縣第1選舉區,15
[縣(市)議員]苗栗縣第2選舉區,4
[縣(市)議員]苗栗縣第3選舉區,10
[縣(市)議員]苗栗縣第4選舉區,16
[縣(市)議員]苗栗縣第5選舉區,17
[縣(市)議員]苗栗縣第6選舉區,3
[縣(市)議員]苗栗縣第8選舉區,2
[縣(市)議員]苗栗縣第7選舉區,4
[鄉鎮市長]苗栗縣苗栗市,3
[鄉鎮市長]苗栗縣苑裡鎮,3
[鄉鎮市長]苗栗縣通霄鎮,5
[鄉鎮市長]苗栗縣竹南鎮,5
[鄉鎮市長]苗栗縣頭份市,3
[鄉鎮市長]苗栗縣後龍鎮,2
[鄉鎮市長]苗栗縣卓蘭鎮,2
[鄉鎮市長]苗栗縣大湖鄉,2
[鄉鎮市長]苗栗縣公館鄉,1
[鄉鎮市長]苗栗縣銅鑼鄉,2
[鄉鎮市長]苗栗縣南庄鄉,2
[鄉鎮市長]苗栗縣頭屋鄉,3
[鄉鎮市長]苗栗縣三義鄉,3
[鄉鎮市長]苗栗縣西湖鄉,1
[鄉鎮市長]苗栗縣造橋鄉,1
[鄉鎮市長]苗栗縣三灣鄉,1
[鄉鎮市長]苗栗縣獅潭鄉,2
[鄉鎮市長]苗栗縣泰安鄉,3
[鄉鎮市民代表]苗栗縣苗栗市第1選舉區,5
[鄉鎮市民代表]苗栗縣苗栗市第2選舉區,5
[鄉鎮市民代表]苗栗縣苗栗市第3選舉區,7
[鄉鎮市民代表]苗栗縣苗栗市第4選舉區,8
[鄉鎮市民代表]苗栗縣苑裡鎮第1選舉區,10
[鄉鎮市民代表]苗栗縣苑裡鎮第2選舉區,3
[鄉鎮市民代表]苗栗縣苑裡鎮第3選舉區,4
[鄉鎮市民代表]苗栗縣通霄鎮第1選舉區,11
[鄉鎮市民代表]苗栗縣通霄鎮第2選舉區,5
[鄉鎮市民代表]苗栗縣通霄鎮第3選舉區,6
[鄉鎮市民代表]苗栗縣通霄鎮第4選舉區,5
[鄉鎮市民代表]苗栗縣竹南鎮第1選舉區,6
[鄉鎮市民代表]苗栗縣竹南鎮第2選舉區,6
[鄉鎮市民代表]苗栗縣竹南鎮第3選舉區,4
[鄉鎮市民代表]苗栗縣竹南鎮第4選舉區,4
[鄉鎮市民代表]苗栗縣頭份市第1選舉區,4
[鄉鎮市民代表]苗栗縣頭份市第2選舉區,4
[鄉鎮市民代表]苗栗縣頭份市第3選舉區,8
[鄉鎮市民代表]苗栗縣頭份市第4選舉區,4
[鄉鎮市民代表]苗栗縣頭份市第5選舉區,2
[鄉鎮市民代表]苗栗縣後龍鎮第1選舉區,6
[鄉鎮市民代表]苗栗縣後龍鎮第2選舉區,3
[鄉鎮市民代表]苗栗縣後龍鎮第3選舉區,7
[鄉鎮市民代表]苗栗縣後龍鎮第4選舉區,2
[鄉鎮市民代表]苗栗縣卓蘭鎮第1選舉區,6
[鄉鎮市民代表]苗栗縣卓蘭鎮第2選舉區,3
[鄉鎮市民代表]苗栗縣卓蘭鎮第3選舉區,6
[鄉鎮市民代表]苗栗縣卓蘭鎮第4選舉區,3
[鄉鎮市民代表]苗栗縣大湖鄉第1選舉區,3
[鄉鎮市民代表]苗栗縣大湖鄉第2選舉區,4
[鄉鎮市民代表]苗栗縣大湖鄉第3選舉區,3
[鄉鎮市民代表]苗栗縣大湖鄉第4選舉區,4
[鄉鎮市民代表]苗栗縣公館鄉第1選舉區,7
[鄉鎮市民代表]苗栗縣公館鄉第2選舉區,4
[鄉鎮市民代表]苗栗縣公館鄉第3選舉區,7
[鄉鎮市民代表]苗栗縣銅鑼鄉第1選舉區,6
[鄉鎮市民代表]苗栗縣銅鑼鄉第2選舉區,4
[鄉鎮市民代表]苗栗縣銅鑼鄉第3選舉區,4
[鄉鎮市民代表]苗栗縣銅鑼鄉第4選舉區,5
[鄉鎮市民代表]苗栗縣銅鑼鄉第5選舉區,2
[鄉鎮市民代表]苗栗縣南庄鄉第1選舉區,8
[鄉鎮市民代表]苗栗縣南庄鄉第2選舉區,2
[鄉鎮市民代表]苗栗縣南庄鄉第3選舉區,6
[鄉鎮市民代表]苗栗縣頭屋鄉第1選舉區,9
[鄉鎮市民代表]苗栗縣頭屋鄉第2選舉區,2
[鄉鎮市民代表]苗栗縣頭屋鄉第3選舉區,5
[鄉鎮市民代表]苗栗縣頭屋鄉第4選舉區,2
[鄉鎮市民代表]苗栗縣頭屋鄉第5選舉區,2
[鄉鎮市民代表]苗栗縣三義鄉第1選舉區,4
[鄉鎮市民代表]苗栗縣三義鄉第2選舉區,4
[鄉鎮市民代表]苗栗縣三義鄉第3選舉區,4
[鄉鎮市民代表]苗栗縣三義鄉第4選舉區,3
[鄉鎮市民代表]苗栗縣西湖鄉第1選舉區,6
[鄉鎮市民代表]苗栗縣西湖鄉第2選舉區,7
[鄉鎮市民代表]苗栗縣造橋鄉第1選舉區,3
[鄉鎮市民代表]苗栗縣造橋鄉第2選舉區,1
[鄉鎮市民代表]苗栗縣造橋鄉第3選舉區,5
[鄉鎮市民代表]苗栗縣造橋鄉第4選舉區,5
[鄉鎮市民代表]苗栗縣三灣鄉第1選舉區,6
[鄉鎮市民代表]苗栗縣三灣鄉第2選舉區,1
[鄉鎮市民代表]苗栗縣三灣鄉第3選舉區,2
[鄉鎮市民代表]苗栗縣獅潭鄉第1選舉區,3
[鄉鎮市民代表]苗栗縣獅潭鄉第2選舉區,3
[鄉鎮市民代表]苗栗縣獅潭鄉第3選舉區,4
[鄉鎮市民代表]苗栗縣泰安鄉第1選舉區,5
[鄉鎮市民代表]苗栗縣泰安鄉第2選舉區,6
[鄉鎮市民代表]苗栗縣泰安鄉第3選舉區,4
[鄉鎮市民代表]苗栗縣南庄鄉第4選舉區,6
[縣(市)長]彰化縣,5
[縣(市)議員]彰化縣第1選舉區,22
[縣(市)議員]彰化縣第2選舉區,10
[縣(市)議員]彰化縣第3選舉區,8
[縣(市)議員]彰化縣第4選舉區,13
[縣(市)議員]彰化縣第5選舉區,8
[縣(市)議員]彰化縣第6選舉區,7
[縣(市)議員]彰化縣第7選舉區,7
[縣(市)議員]彰化縣第8選舉區,9
[縣(市)議員]彰化縣第9選舉區,3
[鄉鎮市長]彰化縣彰化市,3
[鄉鎮市長]彰化縣鹿港鎮,4
[鄉鎮市長]彰化縣和美鎮,2
[鄉鎮市長]彰化縣線西鄉,2
[鄉鎮市長]彰化縣伸港鄉,1
[鄉鎮市長]彰化縣福興鄉,3
[鄉鎮市長]彰化縣秀水鄉,4
[鄉鎮市長]彰化縣花壇鄉,4
[鄉鎮市長]彰化縣芬園鄉,2
[鄉鎮市長]彰化縣員林市,5
[鄉鎮市長]彰化縣溪湖鎮,2
[鄉鎮市長]彰化縣田中鎮,4
[鄉鎮市長]彰化縣大村鄉,2
[鄉鎮市長]彰化縣埔鹽鄉,7
[鄉鎮市長]彰化縣埔心鄉,5
[鄉鎮市長]彰化縣永靖鄉,3
[鄉鎮市長]彰化縣社頭鄉,2
[鄉鎮市長]彰化縣二水鄉,2
[鄉鎮市長]彰化縣北斗鎮,4
[鄉鎮市長]彰化縣二林鎮,3
[鄉鎮市長]彰化縣田尾鄉,3
[鄉鎮市長]彰化縣埤頭鄉,4
[鄉鎮市長]彰化縣芳苑鄉,3
[鄉鎮市長]彰化縣大城鄉,2
[鄉鎮市長]彰化縣竹塘鄉,2
[鄉鎮市長]彰化縣溪州鄉,4
[鄉鎮市民代表]彰化縣彰化市第1選舉區,12
[鄉鎮市民代表]彰化縣彰化市第2選舉區,9
[鄉鎮市民代表]彰化縣彰化市第3選舉區,7
[鄉鎮市民代表]彰化縣彰化市第4選舉區,11
[鄉鎮市民代表]彰化縣鹿港鎮第1選舉區,5
[鄉鎮市民代表]彰化縣鹿港鎮第2選舉區,3
[鄉鎮市民代表]彰化縣鹿港鎮第3選舉區,5
[鄉鎮市民代表]彰化縣鹿港鎮第4選舉區,9
[鄉鎮市民代表]彰化縣和美鎮第1選舉區,8
[鄉鎮市民代表]彰化縣和美鎮第2選舉區,7
[鄉鎮市民代表]彰化縣和美鎮第3選舉區,6
[鄉鎮市民代表]彰化縣和美鎮第4選舉區,4
[鄉鎮市民代表]彰化縣線西鄉第1選舉區,8
[鄉鎮市民代表]彰化縣線西鄉第2選舉區,3
[鄉鎮市民代表]彰化縣線西鄉第3選舉區,5
[鄉鎮市民代表]彰化縣伸港鄉第1選舉區,3
[鄉鎮市民代表]彰化縣伸港鄉第2選舉區,3
[鄉鎮市民代表]彰化縣伸港鄉第3選舉區,6
[鄉鎮市民代表]彰化縣伸港鄉第4選舉區,5
[鄉鎮市民代表]彰化縣福興鄉第1選舉區,4
[鄉鎮市民代表]彰化縣福興鄉第2選舉區,5
[鄉鎮市民代表]彰化縣福興鄉第3選舉區,7
[鄉鎮市民代表]彰化縣秀水鄉第1選舉區,6
[鄉鎮市民代表]彰化縣秀水鄉第2選舉區,3
[鄉鎮市民代表]彰化縣秀水鄉第3選舉區,5
[鄉鎮市民代表]彰化縣花壇鄉第1選舉區,7
[鄉鎮市民代表]彰化縣花壇鄉第2選舉區,9
[鄉鎮市民代表]彰化縣花壇鄉第3選舉區,9
[鄉鎮市民代表]彰化縣芬園鄉第1選舉區,4
[鄉鎮市民代表]彰化縣芬園鄉第2選舉區,6
[鄉鎮市民代表]彰化縣芬園鄉第3選舉區,2
[鄉鎮市民代表]彰化縣芬園鄉第4選舉區,3
[鄉鎮市民代表]彰化縣員林市第1選舉區,6
[鄉鎮市民代表]彰化縣員林市第2選舉區,7
[鄉鎮市民代表]彰化縣員林市第3選舉區,13
[鄉鎮市民代表]彰化縣員林市第4選舉區,8
[鄉鎮市民代表]彰化縣溪湖鎮第1選舉區,6
[鄉鎮市民代表]彰化縣溪湖鎮第2選舉區,10
[鄉鎮市民代表]彰化縣溪湖鎮第3選舉區,5
