政黨,選舉類型,選舉區,姓名
無,村里長,新北市三峽區弘道里,陳仁俊
無,村里長,新北市三峽區弘道里,陳錦桐
無,村里長,新北市三峽區永舘里,蘇正國
無,村里長,新北市三峽區礁溪里,周志鴻
無,村里長,新北市三峽區礁溪里,董耀琮
無,村里長,新北市三峽區龍埔里,黃林賢
無,村里長,新北市三峽區龍埔里,陳椿瑩
無,村里長,新北市三峽區龍埔里,林姿佑
無,村里長,新北市三峽區嘉添里,李萬興
無,村里長,新北市三峽區嘉添里,王銘堂
無,村里長,新北市三峽區添福里,陳秉源
無,村里長,新北市三峽區金圳里,邱金菊
無,村里長,新北市三峽區金圳里,陳冠霖
無,村里長,新北市三峽區五寮里,黃清泉
無,村里長,新北市三峽區五寮里,王金生
無,村里長,新北市三峽區插角里,林坤郎
無,村里長,新北市三峽區有木里,廖招
無,村里長,新北市三峽區有木里,胡幸姍
無,村里長,新北市三峽區有木里,呂雲霖
無,村里長,新北市三峽區溪北里,陳寶蓮
無,村里長,新北市三峽區溪北里,林清明
無,村里長,新北市三峽區溪北里,周志勇
無,村里長,新北市三峽區溪南里,蘇伯聰
無,村里長,新北市三峽區溪東里,陳錫遠
無,村里長,新北市三峽區成福里,蔡文敏
無,村里長,新北市三峽區安坑里,李秋維
無,村里長,新北市三峽區竹崙里,張博勇
無,村里長,新北市三峽區介壽里,周梓亭
無,村里長,新北市三峽區介壽里,王錫川
無,村里長,新北市三峽區安溪里,王曼甄
無,村里長,新北市三峽區中正里,陳志泉
無,村里長,新北市三峽區二鬮里,陳雴埏
無,村里長,新北市三峽區二鬮里,鄭惠君
無,村里長,新北市三峽區龍學里,周秀鳳
無,村里長,新北市三峽區龍恩里,黃家賢
無,村里長,新北市淡水區中和里,王文輝
無,村里長,新北市淡水區屯山里,李永得
無,村里長,新北市淡水區屯山里,李永清
無,村里長,新北市淡水區賢孝里,葉振昌
無,村里長,新北市淡水區賢孝里,翁清和
無,村里長,新北市淡水區興仁里,盧仁澤
無,村里長,新北市淡水區蕃薯里,潘文能
無,村里長,新北市淡水區蕃薯里,王壽喜
無,村里長,新北市淡水區義山里,蔡瀛
無,村里長,新北市淡水區義山里,林素
無,村里長,新北市淡水區義山里,葉水金
無,村里長,新北市淡水區忠山里,李宏卿
無,村里長,新北市淡水區埤島里,楊成俊
無,村里長,新北市淡水區埤島里,蔡正忠
無,村里長,新北市淡水區新興里,吳錦泉
無,村里長,新北市淡水區水碓里,蘇鴻璋
無,村里長,新北市淡水區水碓里,孫麗明
無,村里長,新北市淡水區水源里,張志楨
無,村里長,新北市淡水區忠寮里,蔣耿南
無,村里長,新北市淡水區樹興里,周金城
無,村里長,新北市淡水區樹興里,許秋芳
無,村里長,新北市淡水區坪頂里,郭建義
無,村里長,新北市淡水區坪頂里,許守任
無,村里長,新北市淡水區坪頂里,許惠卿
無,村里長,新北市淡水區坪頂里,張正德
無,村里長,新北市淡水區福德里,郭清泉
無,村里長,新北市淡水區竹圍里,魏培文
無,村里長,新北市淡水區竹圍里,李啟源
無,村里長,新北市淡水區竿蓁里,湯鴻城
無,村里長,新北市淡水區竿蓁里,黃丹琦
無,村里長,新北市淡水區鄧公里,劉秋微
無,村里長,新北市淡水區中興里,江慶發
無,村里長,新北市淡水區中興里,林舜傑
無,村里長,新北市淡水區長庚里,陳崇煌
無,村里長,新北市淡水區清文里,周文烈
無,村里長,新北市淡水區清文里,張永松
無,村里長,新北市淡水區草東里,黃逢晚
無,村里長,新北市淡水區協元里,許隆華
無,村里長,新北市淡水區協元里,蕭慶和
無,村里長,新北市淡水區永吉里,謝安棋
無,村里長,新北市淡水區新生里,洪正宗
無,村里長,新北市淡水區文化里,周敬智
無,村里長,新北市淡水區沙崙里,鐘景來
無,村里長,新北市淡水區沙崙里,王麗珠
無,村里長,新北市淡水區新義里,盧寶全
無,村里長,新北市淡水區新義里,陳木融
無,村里長,新北市淡水區新春里,莊志文
無,村里長,新北市淡水區新春里,張書瑋
無,村里長,新北市淡水區新民里,林聖傑
無,村里長,新北市淡水區正德里,黃俊雄
無,村里長,新北市淡水區正德里,張鈺雯
無,村里長,新北市淡水區民權里,江瑟媚
無,村里長,新北市淡水區民權里,郭添印
無,村里長,新北市淡水區民權里,鄭吉昌
無,村里長,新北市淡水區幸福里,盧文彬
無,村里長,新北市淡水區幸福里,李佳倩
無,村里長,新北市淡水區學府里,林文成
無,村里長,新北市淡水區大庄里,管文忠
無,村里長,新北市汐止區義民里,黃祖明
無,村里長,新北市汐止區義民里,吳俊清
無,村里長,新北市汐止區義民里,吳佩銘
無,村里長,新北市汐止區義民里,李文昌
無,村里長,新北市汐止區禮門里,李朝發
無,村里長,新北市汐止區智慧里,黃智明
無,村里長,新北市汐止區智慧里,謝獻輝
無,村里長,新北市汐止區信望里,楊順德
無,村里長,新北市汐止區秀峰里,蘇樹木
無,村里長,新北市汐止區新昌里,蘇義展
無,村里長,新北市汐止區茄苳里,葉雅惠
無,村里長,新北市汐止區茄苳里,高世忠
無,村里長,新北市汐止區長安里,楊清風
無,村里長,新北市汐止區保安里,蘇忠吉
無,村里長,新北市汐止區保安里,蔡進發
無,村里長,新北市汐止區保長里,呂啟勝
無,村里長,新北市汐止區保長里,賴宗福
無,村里長,新北市汐止區鄉長里,蘇火土
無,村里長,新北市汐止區鄉長里,曾俊華
無,村里長,新北市汐止區江北里,蔡香蘭
無,村里長,新北市汐止區江北里,謝祚敏
無,村里長,新北市汐止區拱北里,謝文雄
無,村里長,新北市汐止區拱北里,蘇聰賢
無,村里長,新北市汐止區拱北里,高世國
無,村里長,新北市汐止區拱北里,王裕耀
無,村里長,新北市汐止區烘內里,魏語徵
無,村里長,新北市汐止區八連里,廖敏汝
無,村里長,新北市汐止區八連里,周順益
無,村里長,新北市汐止區樟樹里,林有財
無,村里長,新北市汐止區樟樹里,蔡聰銘
無,村里長,新北市汐止區北峰里,陳南海
無,村里長,新北市汐止區北山里,林徵熊
無,村里長,新北市汐止區北山里,黃政源
無,村里長,新北市汐止區白雲里,陳俊地
無,村里長,新北市汐止區白雲里,許舜擧
無,村里長,新北市汐止區東山里,林錦定
無,村里長,新北市汐止區東山里,王儀雯
無,村里長,新北市汐止區宜興里,洪明秋
無,村里長,新北市汐止區湖光里,柯慧貞
無,村里長,新北市汐止區湖光里,陳黃彩雲
無,村里長,新北市汐止區仁德里,吳清連
無,村里長,新北市汐止區仁德里,李汶和
無,村里長,新北市汐止區仁德里,李耀文
無,村里長,新北市汐止區厚德里,張進生
無,村里長,新北市汐止區自強里,詹進興
無,村里長,新北市汐止區自強里,康金龍
無,村里長,新北市汐止區自強里,陶宗雄
無,村里長,新北市汐止區自強里,李淑麗
無,村里長,新北市汐止區文化里,余寶聰
無,村里長,新北市汐止區金龍里,陳美麗
無,村里長,新北市汐止區興福里,韓君灝
無,村里長,新北市汐止區康福里,張靜宜
無,村里長,新北市汐止區康福里,曾淑蘭
無,村里長,新北市汐止區忠山里,莊樹枝
無,村里長,新北市汐止區環河里,黃福長
無,村里長,新北市汐止區東勢里,賴一山
無,村里長,新北市汐止區山光里,謝麗華
無,村里長,新北市汐止區山光里,徐玉清
無,村里長,新北市汐止區大同里,鄭富源
無,村里長,新北市汐止區崇德里,張虛心
無,村里長,新北市汐止區崇德里,蘇宏杰
無,村里長,新北市汐止區崇德里,陳玉林
無,村里長,新北市汐止區湖興里,汪登財
無,村里長,新北市汐止區湖興里,王沛生
無,村里長,新北市汐止區湖興里,郭書成
無,村里長,新北市汐止區長青里,許榮騰
無,村里長,新北市汐止區福安里,顏群宗
無,村里長,新北市汐止區秀山里,廖烱華
無,村里長,新北市汐止區秀山里,徐敏志
無,村里長,新北市汐止區建成里,黃信裕
無,村里長,新北市汐止區城中里,廖福賢
無,村里長,新北市汐止區保新里,許國新
無,村里長,新北市汐止區保新里,吳明道
無,村里長,新北市瑞芳區龍潭里,陳生南
無,村里長,新北市瑞芳區龍潭里,林厚信
無,村里長,新北市瑞芳區龍潭里,游宗霖
無,村里長,新北市瑞芳區龍潭里,陳淑霞
無,村里長,新北市瑞芳區龍興里,黃錫基
無,村里長,新北市瑞芳區龍鎮里,許政議
無,村里長,新北市瑞芳區龍鎮里,林文清
無,村里長,新北市瑞芳區龍川里,賴鴻春
無,村里長,新北市瑞芳區龍安里,柯瑞和
無,村里長,新北市瑞芳區爪峯里,吳蔡寶春
無,村里長,新北市瑞芳區爪峯里,簡明慧
無,村里長,新北市瑞芳區柑坪里,許銘仁
無,村里長,新北市瑞芳區上天里,林瑞明
無,村里長,新北市瑞芳區上天里,顏東盛
無,村里長,新北市瑞芳區吉慶里,簡惠麗
無,村里長,新北市瑞芳區吉慶里,黃俊強
無,村里長,新北市瑞芳區吉安里,黃賴寶猜
無,村里長,新北市瑞芳區吉安里,謝永昌
無,村里長,新北市瑞芳區傑魚里,潘天賜
無,村里長,新北市瑞芳區傑魚里,黃阿森
無,村里長,新北市瑞芳區傑魚里,周清標
無,村里長,新北市瑞芳區猴硐里,楊志德
無,村里長,新北市瑞芳區猴硐里,黃德源
無,村里長,新北市瑞芳區光復里,廖建國
無,村里長,新北市瑞芳區光復里,周晉億
無,村里長,新北市瑞芳區弓橋里,潘政信
無,村里長,新北市瑞芳區碩仁里,胡欣怡
無,村里長,新北市瑞芳區基山里,石智能
無,村里長,新北市瑞芳區永慶里,王添來
無,村里長,新北市瑞芳區崇文里,江李美女
無,村里長,新北市瑞芳區福住里,蘇進益
無,村里長,新北市瑞芳區頌德里,林高白梅
無,村里長,新北市瑞芳區新山里,周金柱
無,村里長,新北市瑞芳區新山里,吳苓芳
無,村里長,新北市瑞芳區瓜山里,張英傑
無,村里長,新北市瑞芳區銅山里,陳嶽生
無,村里長,新北市瑞芳區石山里,吳乾正
無,村里長,新北市瑞芳區石山里,江韋儒
無,村里長,新北市瑞芳區濓新里,黃瑞聰
無,村里長,新北市瑞芳區濓洞里,陳美杏
無,村里長,新北市瑞芳區濓洞里,吳昇家
無,村里長,新北市瑞芳區海濱里,鄧麗華
無,村里長,新北市瑞芳區瑞濱里,杜清讚
無,村里長,新北市瑞芳區瑞濱里,胡長安
無,村里長,新北市瑞芳區深澳里,賴孟宏
無,村里長,新北市瑞芳區南雅里,吳君緯
無,村里長,新北市瑞芳區鼻頭里,王坤吉
無,村里長,新北市瑞芳區新峰里,許玟玉
無,村里長,新北市瑞芳區新峰里,黃茂峻
無,村里長,新北市土城區埤塘里,邱顯俊
無,村里長,新北市土城區土城里,許英琪
無,村里長,新北市土城區土城里,徐信榮
無,村里長,新北市土城區員林里,蔡黃地
無,村里長,新北市土城區員仁里,童聰信
無,村里長,新北市土城區員仁里,洪永富
無,村里長,新北市土城區長風里,司家駒
無,村里長,新北市土城區日新里,吳信坪
無,村里長,新北市土城區日新里,李明財
無,村里長,新北市土城區日新里,鍾菊枝
無,村里長,新北市土城區日和里,簡建裕
無,村里長,新北市土城區日和里,李福源
無,村里長,新北市土城區貨饒里,許春騰
無,村里長,新北市土城區貨饒里,周根本
無,村里長,新北市土城區埤林里,蔡志紅
無,村里長,新北市土城區瑞興里,陳明遠
無,村里長,新北市土城區清水里,江純文
無,村里長,新北市土城區清和里,張源寶
無,村里長,新北市土城區永豐里,黃榮沐
無,村里長,新北市土城區清化里,袁慧如
無,村里長,新北市土城區清溪里,彭兆鵬
無,村里長,新北市土城區峯廷里,林献章
無,村里長,新北市土城區平和里,林芊蕙
無,村里長,新北市土城區平和里,戴文龍
無,村里長,新北市土城區平和里,李秀琴
無,村里長,新北市土城區廷寮里,李月嬌
無,村里長,新北市土城區廷寮里,蘇千祝
無,村里長,新北市土城區大安里,張俊隆
無,村里長,新北市土城區永寧里,周清芳
無,村里長,新北市土城區永寧里,吳曉琪
無,村里長,新北市土城區永寧里,江淑君
無,村里長,新北市土城區沛陂里,王進龍
無,村里長,新北市土城區沛陂里,王傳勝
無,村里長,新北市土城區沛陂里,陳國友
無,村里長,新北市土城區頂埔里,鄧木生
無,村里長,新北市土城區頂福里,廖恆毅
無,村里長,新北市土城區頂福里,林泰承
無,村里長,新北市土城區頂福里,蘇柔安
無,村里長,新北市土城區頂新里,余美珠
無,村里長,新北市土城區頂新里,許元皇
無,村里長,新北市土城區頂新里,林家豪
無,村里長,新北市土城區祖田里,呂惠美
無,村里長,新北市土城區樂利里,黃銀片
無,村里長,新北市土城區廣福里,林阿圓
無,村里長,新北市土城區廣福里,丁科秀
無,村里長,新北市土城區學府里,廖家雄
無,村里長,新北市土城區學府里,宮敬家
無,村里長,新北市土城區延壽里,滕月蘭
無,村里長,新北市土城區延壽里,王福榮
無,村里長,新北市土城區延壽里,蔡政洋
無,村里長,新北市土城區安和里,古秋源
無,村里長,新北市土城區青雲里,廖特青
無,村里長,新北市土城區員福里,羅建溪
無,村里長,新北市土城區員福里,陳時輝
無,村里長,新北市土城區員福里,黃崇煒
無,村里長,新北市土城區延吉里,楊季堂
無,村里長,新北市土城區復興里,潘祝惠
無,村里長,新北市土城區復興里,李世棟
無,村里長,新北市土城區復興里,鐘健松
無,村里長,新北市土城區裕生里,陳勝發
無,村里長,新北市土城區裕生里,楊忠富
無,村里長,新北市土城區員信里,杜林秀英
無,村里長,新北市土城區員信里,林美茹
無,村里長,新北市土城區永富里,黃思儀
無,村里長,新北市土城區學成里,戴有利
無,村里長,新北市土城區學成里,范發長
無,村里長,新北市土城區延和里,陳新波
無,村里長,新北市土城區延和里,黃富源
無,村里長,新北市土城區中正里,呂聰成
無,村里長,新北市土城區中正里,劉信義
無,村里長,新北市土城區學士里,黃志騰
無,村里長,新北市土城區明德里,廖寅助
無,村里長,新北市土城區青山里,姚韋華
無,村里長,新北市土城區金城里,林銘煌
無,村里長,新北市土城區金城里,黃郁惠
無,村里長,新北市土城區延祿里,周婕
無,村里長,新北市土城區延祿里,藍文賓
無,村里長,新北市蘆洲區正義里,林志修
無,村里長,新北市蘆洲區正義里,盧耀芳
無,村里長,新北市蘆洲區中原里,熊正雄
無,村里長,新北市蘆洲區中路里,張宗耀
無,村里長,新北市蘆洲區中路里,張昭明
無,村里長,新北市蘆洲區光華里,李鵬毅
無,村里長,新北市蘆洲區保佑里,李時春
無,村里長,新北市蘆洲區水湳里,吳松標
無,村里長,新北市蘆洲區樓厝里,李煒寅
無,村里長,新北市蘆洲區鷺江里,楊筱葉
無,村里長,新北市蘆洲區恆德里,李常孝
無,村里長,新北市蘆洲區恆德里,
無,村里長,新北市蘆洲區溪墘里,李永芳
無,村里長,新北市蘆洲區樹德里,李芳龍
無,村里長,新北市蘆洲區保和里,黃太陽
無,村里長,新北市蘆洲區保和里,楊總仁
無,村里長,新北市蘆洲區仁復里,郭宗輝
無,村里長,新北市蘆洲區仁復里,李德勝
無,村里長,新北市蘆洲區得勝里,蔡志選
無,村里長,新北市蘆洲區南港里,王珠香
無,村里長,新北市蘆洲區永樂里,李再富
無,村里長,新北市蘆洲區永樂里,李麗文
無,村里長,新北市蘆洲區永康里,張富祈
無,村里長,新北市蘆洲區永康里,陳志清
無,村里長,新北市蘆洲區信義里,郭騰芳
無,村里長,新北市蘆洲區玉清里,楊敬喜
無,村里長,新北市蘆洲區玉清里,黃玉鳳
無,村里長,新北市蘆洲區水河里,李文發
無,村里長,新北市蘆洲區水河里,藍珮珊
無,村里長,新北市蘆洲區仁愛里,林宏典
無,村里長,新北市蘆洲區仁愛里,黃瑞豐
無,村里長,新北市蘆洲區九芎里,徐洪麗珠
無,村里長,新北市蘆洲區中華里,林信志
無,村里長,新北市蘆洲區中華里,蔡宜峰
無,村里長,新北市蘆洲區得仁里,曾敏明
無,村里長,新北市蘆洲區得仁里,李鳳嬌
無,村里長,新北市蘆洲區仁德里,張宏友
無,村里長,新北市蘆洲區仁德里,古佳玉
無,村里長,新北市蘆洲區仁義里,吳東燦
無,村里長,新北市蘆洲區保新里,黃素秋
無,村里長,新北市蘆洲區長安里,王彥貴
無,村里長,新北市蘆洲區民和里,杜易輿
無,村里長,新北市蘆洲區忠孝里,詹阿修
無,村里長,新北市蘆洲區福安里,李文義
無,村里長,新北市蘆洲區永安里,林永富
無,村里長,新北市蘆洲區永安里,李建興
無,村里長,新北市蘆洲區永德里,陳宥安
無,村里長,新北市五股區興珍里,鄭國榮
無,村里長,新北市五股區更寮里,陳朝枝
無,村里長,新北市五股區更寮里,洪禮錝
無,村里長,新北市五股區集福里,葉玉芳
無,村里長,新北市五股區集福里,林聖欽
無,村里長,新北市五股區集福里,吳全福
無,村里長,新北市五股區集福里,陳秋玉
無,村里長,新北市五股區觀音里,陳金全
無,村里長,新北市五股區觀音里,陳信
無,村里長,新北市五股區成州里,陳林益
無,村里長,新北市五股區成功里,楊水龍
無,村里長,新北市五股區成功里,簡銘信
無,村里長,新北市五股區五龍里,陳燕山
無,村里長,新北市五股區五股里,陳義銓
無,村里長,新北市五股區五股里,曹素月
無,村里長,新北市五股區五福里,張仲文
無,村里長,新北市五股區德音里,洪金龍
無,村里長,新北市五股區陸一里,戴秀娟
無,村里長,新北市五股區陸一里,鍾坤達
無,村里長,新北市五股區德泰里,林永賢
無,村里長,新北市五股區德泰里,黃耀德
無,村里長,新北市五股區成德里,陳次芬
無,村里長,新北市五股區成德里,林儒瑤
無,村里長,新北市五股區六福里,郭嘉模
無,村里長,新北市五股區六福里,謝從慧
無,村里長,新北市五股區集賢里,陳文賓
無,村里長,新北市五股區集賢里,林正盛
無,村里長,新北市五股區民義里,陳柏樺
無,村里長,新北市五股區水碓里,邱江永
無,村里長,新北市五股區福德里,吳永村
無,村里長,新北市五股區福德里,楊三奇
無,村里長,新北市泰山區大科里,黃金進
無,村里長,新北市泰山區黎明里,張楊銘
無,村里長,新北市泰山區黎明里,施呈林
無,村里長,新北市泰山區山腳里,王國超
無,村里長,新北市泰山區山腳里,陳榮太
無,村里長,新北市泰山區福泰里,劉丁源
無,村里長,新北市泰山區福泰里,柳建福
無,村里長,新北市泰山區楓樹里,林大筆
無,村里長,新北市泰山區同榮里,葉淑玲
無,村里長,新北市泰山區同榮里,古清輝
無,村里長,新北市泰山區義學里,陳和榮
無,村里長,新北市泰山區明志里,陳春祈
無,村里長,新北市泰山區貴子里,戴聯樹
無,村里長,新北市泰山區貴和里,盧東和
無,村里長,新北市泰山區貴和里,余碧玉
無,村里長,新北市泰山區同興里,詹明德
無,村里長,新北市泰山區義仁里,許火炎
無,村里長,新北市泰山區泰友里,莊永任
無,村里長,新北市泰山區新明里,陳壬貴
無,村里長,新北市泰山區貴賢里,蔡鈴木
無,村里長,新北市泰山區貴賢里,翁福德
無,村里長,新北市泰山區全興里,趙木山
無,村里長,新北市林口區東林里,陳洪賓
無,村里長,新北市林口區菁湖里,林益興
無,村里長,新北市林口區菁湖里,許東山
無,村里長,新北市林口區中湖里,陳國珍
無,村里長,新北市林口區湖北里,張文清
無,村里長,新北市林口區湖南里,黃清龍
無,村里長,新北市林口區湖南里,洪重銘
無,村里長,新北市林口區南勢里,劉坤昇
無,村里長,新北市林口區東勢里,蕭煌柏
無,村里長,新北市林口區頂福里,蘇源和
無,村里長,新北市林口區下福里,李美玉
無,村里長,新北市林口區嘉寶里,黃建邦
無,村里長,新北市林口區瑞平里,駱阿標
無,村里長,新北市林口區瑞平里,洪淑芬
無,村里長,新北市林口區太平里,陳籐
無,村里長,新北市林口區太平里,謝玉祥
無,村里長,新北市林口區太平里,林佑嶸
無,村里長,新北市林口區仁愛里,黃清松
無,村里長,新北市深坑區深坑里,黃建強
無,村里長,新北市深坑區萬順里,楊文得
無,村里長,新北市深坑區萬順里,許添丁
無,村里長,新北市深坑區昇高里,李傳震
無,村里長,新北市深坑區昇高里,吳大偉
無,村里長,新北市深坑區阿柔里,羅定國
無,村里長,新北市深坑區埔新里,高蔡桂英
無,村里長,新北市深坑區賴仲里,蕭麗玉
無,村里長,新北市深坑區賴仲里,黃世德
無,村里長,新北市石碇區石碇里,陳將賢
無,村里長,新北市石碇區潭邊里,許淑富
無,村里長,新北市石碇區潭邊里,王萬紫
無,村里長,新北市石碇區隆盛里,謝根林
無,村里長,新北市石碇區烏塗里,林却
無,村里長,新北市石碇區彭山里,許建長
無,村里長,新北市石碇區彭山里,高秉生
無,村里長,新北市石碇區豐田里,黃種奇
無,村里長,新北市石碇區豐田里,萬利鈞
無,村里長,新北市石碇區豐田里,陳萬長
無,村里長,新北市石碇區永定里,王金洞
無,村里長,新北市石碇區永定里,陳宗平
無,村里長,新北市石碇區中民里,林冬成
無,村里長,新北市石碇區中民里,郭滄樑
無,村里長,新北市石碇區光明里,楊萬益
無,村里長,新北市石碇區豐林里,黃銘通
無,村里長,新北市石碇區豐林里,李煌義
無,村里長,新北市石碇區永安里,高炳煌
無,村里長,新北市石碇區格頭里,陳秀蓉
無,村里長,新北市石碇區格頭里,高國泰
無,村里長,新北市坪林區粗窟里,李志忠
無,村里長,新北市坪林區粗窟里,蕭泰隆
無,村里長,新北市坪林區坪林里,陳欣評
無,村里長,新北市坪林區坪林里,陳進來
無,村里長,新北市坪林區大林里,李秋勝
無,村里長,新北市坪林區大林里,林炳東
無,村里長,新北市坪林區石𥕢里,陳進益
無,村里長,新北市坪林區石𥕢里,張秀霞
無,村里長,新北市坪林區水德里,張文進
無,村里長,新北市坪林區漁光里,白明堂
無,村里長,新北市坪林區漁光里,陳添雨
無,村里長,新北市坪林區漁光里,施聞璧
無,村里長,新北市三芝區八賢里,楊振蜂
無,村里長,新北市三芝區埔頭里,陳盛
無,村里長,新北市三芝區古庄里,葉樹枝
無,村里長,新北市三芝區古庄里,葉秋蓮
無,村里長,新北市三芝區新庄里,朱麒麟
無,村里長,新北市三芝區新庄里,林文章
無,村里長,新北市三芝區茂長里,林雙喜
無,村里長,新北市三芝區橫山里,傅明隆
無,村里長,新北市三芝區橫山里,江憲明
無,村里長,新北市三芝區錫板里,陳燕國
無,村里長,新北市三芝區圓山里,葉泓志
無,村里長,新北市三芝區店子里,戴文福
無,村里長,新北市三芝區店子里,盧俊生
無,村里長,新北市三芝區興華里,杜國偵
無,村里長,新北市石門區德茂里,花文發
無,村里長,新北市石門區德茂里,陳鳳珠
無,村里長,新北市石門區富基里,林茂森
無,村里長,新北市石門區老梅里,許寶祿
無,村里長,新北市石門區山溪里,許阿煌
無,村里長,新北市石門區山溪里,王綸
無,村里長,新北市石門區石門里,施宗南
無,村里長,新北市石門區石門里,劉啟祥
無,村里長,新北市石門區尖鹿里,邱朝欉
無,村里長,新北市石門區尖鹿里,呂金樹
無,村里長,新北市石門區乾華里,曾清松
無,村里長,新北市石門區茂林里,練瑞旺
無,村里長,新北市石門區茂林里,簡義雄
無,村里長,新北市石門區草里里,李金寶
無,村里長,新北市八里區龍源里,林俊德
無,村里長,新北市八里區米倉里,張恆
無,村里長,新北市八里區大崁里,陳昇豐
無,村里長,新北市八里區埤頭里,張淑玲
無,村里長,新北市八里區埤頭里,鄭月雲
無,村里長,新北市八里區頂罟里,洪志成
無,村里長,新北市八里區舊城里,陳森源
無,村里長,新北市八里區舊城里,陳天發
無,村里長,新北市八里區荖阡里,禇漢章
無,村里長,新北市八里區荖阡里,吳雨蓁
無,村里長,新北市八里區荖阡里,盂國珍
無,村里長,新北市八里區長坑里,洪啓誠
無,村里長,新北市八里區下罟里,汪金傳
無,村里長,新北市平溪區薯榔里,潘隆裕
無,村里長,新北市平溪區菁桐里,鄭賢良
無,村里長,新北市平溪區菁桐里,楊明仁
無,村里長,新北市平溪區白石里,賴明焜
無,村里長,新北市平溪區石底里,郭聰能
無,村里長,新北市平溪區石底里,楊鄭財
無,村里長,新北市平溪區石底里,王如鈺
無,村里長,新北市平溪區平溪里,闕清吉
無,村里長,新北市平溪區平溪里,林慶賢
無,村里長,新北市平溪區嶺腳里,林瑞祺
無,村里長,新北市平溪區嶺腳里,陳銘哲
無,村里長,新北市平溪區東勢里,潘良安
無,村里長,新北市平溪區東勢里,李明宏
無,村里長,新北市平溪區望古里,林寶玫
無,村里長,新北市平溪區南山里,林再來
無,村里長,新北市平溪區平湖里,王月嬌
無,村里長,新北市平溪區十分里,黃陳鳳珠
無,村里長,新北市平溪區十分里,鍾榮富
無,村里長,新北市平溪區十分里,陳元君
無,村里長,新北市平溪區新寮里,胡兩泉
無,村里長,新北市雙溪區雙溪里,盧燈煌
無,村里長,新北市雙溪區共和里,魏雙傳
無,村里長,新北市雙溪區共和里,李蓁芳
無,村里長,新北市雙溪區新基里,俞秉仁
無,村里長,新北市雙溪區新基里,李添貴
無,村里長,新北市雙溪區新基里,吳逢春
無,村里長,新北市雙溪區魚行里,蔡大握
無,村里長,新北市雙溪區魚行里,呂瑞弘
無,村里長,新北市雙溪區魚行里,曹拯民
無,村里長,新北市雙溪區三港里,葉俊郎
無,村里長,新北市雙溪區三港里,康俐瑩
無,村里長,新北市雙溪區牡丹里,連隆盛
無,村里長,新北市雙溪區牡丹里,沈儒益
無,村里長,新北市雙溪區三貂里,連建昌
無,村里長,新北市雙溪區三貂里,何林城
無,村里長,新北市雙溪區上林里,林啟明
無,村里長,新北市雙溪區外柑里,楊文定
無,村里長,新北市雙溪區外柑里,賴明賢
無,村里長,新北市雙溪區外柑里,王崑耀
無,村里長,新北市雙溪區長源里,陳資郎
無,村里長,新北市雙溪區泰平里,吳南洋
無,村里長,新北市雙溪區泰平里,蘇文章
無,村里長,新北市貢寮區貢寮里,楊張翠華
無,村里長,新北市貢寮區貢寮里,林重治
無,村里長,新北市貢寮區吉林里,簡束卿
無,村里長,新北市貢寮區吉林里,蕭春益
無,村里長,新北市貢寮區雙玉里,吳永彬
無,村里長,新北市貢寮區雙玉里,林孟庸
無,村里長,新北市貢寮區龍崗里,林中志
無,村里長,新北市貢寮區龍崗里,黃朝銘
無,村里長,新北市貢寮區龍門里,吳世揚
無,村里長,新北市貢寮區福隆里,吳憲彰
無,村里長,新北市貢寮區福隆里,黃吉元
無,村里長,新北市貢寮區仁里里,吳勝福
無,村里長,新北市貢寮區真理里,趙瑞昌
無,村里長,新北市貢寮區福連里,吳文益
無,村里長,新北市貢寮區福連里,周林裕
無,村里長,新北市貢寮區福連里,吳家威
無,村里長,新北市貢寮區美豐里,蕭水同
無,村里長,新北市貢寮區美豐里,周貝芳
無,村里長,新北市貢寮區美豐里,游慶榕
無,村里長,新北市貢寮區和美里,吳金發
無,村里長,新北市金山區和平里,張文輝
無,村里長,新北市金山區大同里,許振煌
無,村里長,新北市金山區豐漁里,許吉興
無,村里長,新北市金山區磺港里,王炳煌
無,村里長,新北市金山區磺港里,許明熙
無,村里長,新北市金山區美田里,黃賜福
無,村里長,新北市金山區美田里,黃賜民
無,村里長,新北市金山區五湖里,李進發
無,村里長,新北市金山區重和里,賴蔡標
無,村里長,新北市金山區兩湖里,徐燈煌
無,村里長,新北市金山區兩湖里,張金火
無,村里長,新北市金山區六股里,蔡柏淵
無,村里長,新北市金山區三界里,許添坤
無,村里長,新北市金山區清泉里,陳麗蘭
無,村里長,新北市金山區萬壽里,劉正行
無,村里長,新北市金山區萬壽里,朱陳旺
無,村里長,新北市金山區西湖里,賴聰明
無,村里長,新北市金山區西湖里,吳水朝
無,村里長,新北市金山區永興里,許瑞林
無,村里長,新北市金山區金美里,蔡龍豪
無,村里長,新北市萬里區萬里里,王傑倫
無,村里長,新北市萬里區野柳里,陳進財
無,村里長,新北市萬里區大鵬里,李建才
無,村里長,新北市萬里區大鵬里,李崇敬
無,村里長,新北市萬里區大鵬里,黃冠琇
無,村里長,新北市萬里區磺潭里,張宗基
無,村里長,新北市萬里區雙興里,郭鄧發
無,村里長,新北市萬里區雙興里,郭嘉書
無,村里長,新北市萬里區溪底里,許鄒錦隆
無,村里長,新北市萬里區溪底里,郭宗麟
無,村里長,新北市萬里區崁脚里,郭清標
無,村里長,新北市萬里區崁脚里,郭光能
